"Label (Grouping)","United States!!Estimate","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"    Arts, Humanities, and Other","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Literature and Languages","64,276","52,769","61,858","61,148","56,583","76,187","59,760","67,883","59,361","96,943","53,314","58,975","61,317","49,861","70,275","50,157","50,615","51,993","49,042","52,982","55,429","80,738","75,744","54,799","65,105","50,889","53,806","52,899","58,098","61,263","65,125","72,716","58,989","76,919","55,191","57,847","60,027","51,490","63,600","63,499","70,515","55,782","47,530","61,792","62,206","58,595","53,479","73,995","70,005","43,966","59,986","51,321","24,048"
"        Liberal Arts and History","65,150","54,590","72,438","63,170","49,089","77,930","69,019","81,501","69,593","122,491","60,666","64,604","65,576","56,020","69,162","53,021","56,838","58,502","57,001","53,156","62,312","76,520","74,995","56,783","63,637","50,370","51,598","53,147","68,068","56,553","66,093","72,492","58,493","75,454","58,736","49,621","58,039","52,499","59,764","61,823","68,412","58,489","51,748","56,248","62,837","62,815","62,834","81,037","74,133","57,752","57,019","47,358","27,331"
"        Visual and Performing Arts","54,765","45,483","60,153","54,314","43,636","63,661","51,540","62,718","47,964","81,242","48,221","57,898","37,291","44,777","52,907","44,500","46,524","52,266","48,250","47,783","46,237","58,378","62,622","51,454","56,373","40,910","49,206","46,274","47,327","50,413","51,784","67,443","46,855","63,865","51,597","53,941","51,290","42,155","50,354","52,907","60,908","43,276","36,169","50,395","53,706","43,652","49,427","59,075","56,704","53,509","51,824","46,038","22,539"
"        Communications","67,010","52,412","72,650","62,711","51,705","77,484","70,638","79,185","65,351","86,719","58,179","66,947","62,842","58,864","74,012","58,439","55,097","61,961","54,252","54,810","58,204","72,662","79,356","62,831","69,002","53,373","61,229","50,016","53,410","73,025","70,616","78,909","56,843","77,638","62,350","51,643","61,270","54,925","65,487","64,154","64,038","64,660","54,272","57,222","64,383","64,386","57,993","73,063","74,606","51,091","62,843","41,543","30,249"
"        Other","62,206","55,241","74,121","61,532","49,041","70,788","67,741","68,910","61,388","84,381","57,404","61,146","65,410","58,611","65,322","56,127","55,520","55,778","51,165","53,837","60,672","76,737","73,225","60,222","64,250","48,893","55,593","51,216","56,435","62,748","68,096","74,929","56,877","65,676","54,865","62,850","58,753","53,226","59,792","63,058","62,919","54,289","52,470","55,158","62,269","55,953","62,758","73,457","69,587","50,711","61,150","58,653","26,868"
"    Male:","89,298","80,271","87,373","84,064","73,180","102,380","92,369","101,759","85,922","110,747","77,244","86,086","81,546","80,809","90,775","77,783","76,996","78,310","75,832","75,944","73,311","102,164","102,804","86,464","86,454","70,521","76,642","68,739","76,505","75,381","92,213","103,081","79,886","91,306","82,261","75,842","84,455","73,382","85,195","86,644","87,475","80,126","68,358","78,347","90,403","91,896","69,102","102,404","106,193","70,104","81,683","71,332","35,232"
"        Science and Engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Computers, Mathematics and Statistics","105,269","87,961","125,332","106,966","100,485","126,192","110,275","120,340","69,394","115,633","90,537","96,699","89,401","92,007","100,829","81,345","91,349","93,438","87,363","85,545","85,941","110,303","121,330","95,385","101,307","77,041","94,069","90,381","96,514","82,811","105,105","123,745","93,703","104,527","101,586","75,022","99,715","84,240","102,422","101,088","78,928","86,827","78,313","92,191","105,324","104,920","82,285","121,552","152,183","84,262","96,038","64,569","34,568"
"            Biological, Agricultural, and Environmental Sciences","86,629","80,686","96,814","81,886","86,268","102,421","81,949","102,100","86,562","110,176","80,936","86,562","80,508","66,828","87,945","82,488","72,513","77,629","85,614","81,499","62,039","101,798","96,949","84,877","77,849","73,970","70,124","67,231","81,916","74,573","91,577","104,348","88,998","86,117","90,546","70,785","82,817","76,968","83,422","82,026","102,146","81,682","74,582","71,748","89,199","99,718","63,924","101,762","92,070","65,833","76,063","68,895","39,276"
